Termino;Definicion;Ejemplos;Prioridad;Dominio
CIA_Triad;;;ALTA;Conceptos Generales de Seguridad
AAA;;;ALTA;Conceptos Generales de Seguridad
Zero_Trust;;;ALTA;Conceptos Generales de Seguridad
Defense_in_Depth;;;ALTA;Conceptos Generales de Seguridad
Security_Control_Types;;;ALTA;Conceptos Generales de Seguridad
Security_Control_Categories;;;ALTA;Conceptos Generales de Seguridad
AES;;;ALTA;Conceptos Generales de Seguridad
RSA;;;ALTA;Conceptos Generales de Seguridad
DHE;;;ALTA;Conceptos Generales de Seguridad
Hashing;;;ALTA;Conceptos Generales de Seguridad
SHA;;;ALTA;Conceptos Generales de Seguridad
Digital_Signature;;;ALTA;Conceptos Generales de Seguridad
DSA;;;ALTA;Conceptos Generales de Seguridad
ECDSA;;;ALTA;Conceptos Generales de Seguridad
PKI;;;ALTA;Conceptos Generales de Seguridad
Certificate;;;ALTA;Conceptos Generales de Seguridad
CA;;;ALTA;Conceptos Generales de Seguridad
OCSP;;;ALTA;Conceptos Generales de Seguridad
TPM;;;ALTA;Conceptos Generales de Seguridad
FDE;;;ALTA;Conceptos Generales de Seguridad
WPA2_WPA3;;;ALTA;Conceptos Generales de Seguridad
SAE;;;ALTA;Conceptos Generales de Seguridad
802.1X;;;ALTA;Conceptos Generales de Seguridad
MDM;;;ALTA;Conceptos Generales de Seguridad
DKIM;;;ALTA;Conceptos Generales de Seguridad
DMARC;;;ALTA;Conceptos Generales de Seguridad
SPF;;;ALTA;Conceptos Generales de Seguridad
OpenID_Connect;;;ALTA;Conceptos Generales de Seguridad
SAML_Features;;;ALTA;Conceptos Generales de Seguridad
Biometrics_Types;;;ALTA;Conceptos Generales de Seguridad
Hardware_Tokens;;;ALTA;Conceptos Generales de Seguridad
Security_Key;;;ALTA;Conceptos Generales de Seguridad
Password_Policies;;;ALTA;Conceptos Generales de Seguridad
OTP;;;ALTA;Conceptos Generales de Seguridad
Just_in_Time_Permissions;;;ALTA;Conceptos Generales de Seguridad
SHA_3;;;ALTA;Conceptos Generales de Seguridad
Digital_Certificate;;;ALTA;Conceptos Generales de Seguridad
Vishing;;;ALTA;Conceptos Generales de Seguridad
Pharming;;;ALTA;Conceptos Generales de Seguridad
MSSP;;;ALTA;Conceptos Generales de Seguridad
STARTTLS;;;ALTA;Conceptos Generales de Seguridad
CCMP;;;ALTA;Conceptos Generales de Seguridad
Password_Manager;;;ALTA;Conceptos Generales de Seguridad
Dictionary_Attack;;;ALTA;Conceptos Generales de Seguridad
ML;;;ALTA;Conceptos Generales de Seguridad
Threat_Actor;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
APT;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Phishing;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Spear_Phishing;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
BEC;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Impersonation;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Typosquatting;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Malware;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Ransomware;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Trojan;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
RAT;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Worm;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Botnet;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
C2;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
SQL_Injection;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
XSS;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
CSRF;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
RCE;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
XML_Injection;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Directory_Traversal;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Zero_Day;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
DoS;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
DDoS;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Reflected_DDoS;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
DNS_Spoofing;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
MitM;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Session_Hijacking;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Brute_Force;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Dictionary_Attack;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Password_Spraying;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Privilege_Escalation;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
CVE;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
CVSS;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
IoC;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Input_Validation;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Error_Handling;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Data_Sanitization;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
False_Negative;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
False_Positive;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
MITRE_ATT&CK;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Attack_Surface;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Threat_Vector;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
SQLi;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Memory_Injection;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Malicious_Update;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Legacy_Hardware_Vulnerability;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
VM_Escape;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Wireless_Disassociation;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Session_Replay;;;ALTA;Amenazas, Vulnerabilidades y Mitigaciones
Firewall;;;ALTA;Arquitectura de Seguridad
Layer_7_Firewall;;;ALTA;Arquitectura de Seguridad
WAF;;;ALTA;Arquitectura de Seguridad
IDS;;;ALTA;Arquitectura de Seguridad
NIDS;;;ALTA;Arquitectura de Seguridad
IPS;;;ALTA;Arquitectura de Seguridad
HIPS;;;ALTA;Arquitectura de Seguridad
NIPS;;;ALTA;Arquitectura de Seguridad
VPN;;;ALTA;Arquitectura de Seguridad
Site_to_Site_VPN;;;ALTA;Arquitectura de Seguridad
SASE;;;ALTA;Arquitectura de Seguridad
SDN;;;ALTA;Arquitectura de Seguridad
VLAN;;;ALTA;Arquitectura de Seguridad
DMZ;;;ALTA;Arquitectura de Seguridad
ACL;;;ALTA;Arquitectura de Seguridad
IEEE_802_1X;;;ALTA;Arquitectura de Seguridad
Proxy;;;ALTA;Arquitectura de Seguridad
RAS;;;ALTA;Arquitectura de Seguridad
Air_Gap;;;ALTA;Arquitectura de Seguridad
SIEM;;;ALTA;Arquitectura de Seguridad
EDR;;;ALTA;Arquitectura de Seguridad
NGFW;;;ALTA;Arquitectura de Seguridad
DLP;;;ALTA;Arquitectura de Seguridad
RTO;;;ALTA;Arquitectura de Seguridad
RPO;;;ALTA;Arquitectura de Seguridad
Backup_3_2_1;;;ALTA;Arquitectura de Seguridad
Snapshot;;;ALTA;Arquitectura de Seguridad
Replication;;;ALTA;Arquitectura de Seguridad
Load_Balancing;;;ALTA;Arquitectura de Seguridad
Hot_Site;;;ALTA;Arquitectura de Seguridad
Warm_Site;;;ALTA;Arquitectura de Seguridad
Cold_Site;;;ALTA;Arquitectura de Seguridad
UPS;;;ALTA;Arquitectura de Seguridad
Cloud_IaaS;;;ALTA;Arquitectura de Seguridad
Cloud_SaaS;;;ALTA;Arquitectura de Seguridad
Screened_Subnet;;;ALTA;Arquitectura de Seguridad
Firewall_Implicit_Deny;;;ALTA;Arquitectura de Seguridad
URL_Scanning;;;ALTA;Arquitectura de Seguridad
DNS_Filtering;;;ALTA;Arquitectura de Seguridad
Group_Policy;;;ALTA;Arquitectura de Seguridad
FIM;;;ALTA;Arquitectura de Seguridad
MAC_Model;;;ALTA;Arquitectura de Seguridad
PEAP;;;ALTA;Arquitectura de Seguridad
EAP_TLS;;;ALTA;Arquitectura de Seguridad
WPA_Enterprise;;;ALTA;Arquitectura de Seguridad
DAC;;;ALTA;Arquitectura de Seguridad
Least_Privilege;;;ALTA;Arquitectura de Seguridad
Adaptive_Identity;;;ALTA;Arquitectura de Seguridad
IPsec;;;ALTA;Arquitectura de Seguridad
PSK;;;ALTA;Arquitectura de Seguridad
GDPR;;;ALTA;Arquitectura de Seguridad
Secure_Baseline;;;ALTA;Arquitectura de Seguridad
Remote_Wipe;;;ALTA;Arquitectura de Seguridad
Data_Retention_Policy;;;ALTA;Arquitectura de Seguridad
STARTTLS;;;ALTA;Arquitectura de Seguridad
SOW;;;ALTA;Arquitectura de Seguridad
CCMP;;;ALTA;Arquitectura de Seguridad
CBC_Mode;;;ALTA;Arquitectura de Seguridad
ECB_Mode;;;ALTA;Arquitectura de Seguridad
AUP;;;ALTA;Arquitectura de Seguridad
Static_Code_Analysis;;;ALTA;Operaciones de Seguridad
Dynamic_Code_Analysis;;;ALTA;Operaciones de Seguridad
Package_Monitoring;;;ALTA;Operaciones de Seguridad
DLP;;;ALTA;Operaciones de Seguridad
Signatures;;;ALTA;Operaciones de Seguridad
Orchestration;;;ALTA;Operaciones de Seguridad
Automation;;;ALTA;Operaciones de Seguridad
PCAP;;;ALTA;Operaciones de Seguridad
Vulnerability_Scanning;;;ALTA;Operaciones de Seguridad
SASE;;;ALTA;Operaciones de Seguridad
AUP;;;ALTA;Operaciones de Seguridad
Red_Team;;;ALTA;Operaciones de Seguridad
Blue_Team;;;ALTA;Operaciones de Seguridad
Gray_Box_Testing;;;ALTA;Operaciones de Seguridad
Active_Reconnaissance;;;ALTA;Operaciones de Seguridad
Passive_Reconnaissance;;;ALTA;Operaciones de Seguridad
Fuzzing;;;ALTA;Operaciones de Seguridad
Code_Signing;;;ALTA;Operaciones de Seguridad
Impossible_Travel;;;ALTA;Operaciones de Seguridad
Missing_Logs;;;ALTA;Operaciones de Seguridad
Incident_Response_Preparation;;;ALTA;Operaciones de Seguridad
Incident_Response_Detection;;;ALTA;Operaciones de Seguridad
Incident_Response_Containment;;;ALTA;Operaciones de Seguridad
Incident_Response_Post_Incident;;;ALTA;Operaciones de Seguridad
SDLC;;;ALTA;Operaciones de Seguridad
IoC;;;ALTA;Operaciones de Seguridad
MDM;;;ALTA;Operaciones de Seguridad
CVE;;;ALTA;Operaciones de Seguridad
DKIM;;;ALTA;Operaciones de Seguridad
DMARC;;;ALTA;Operaciones de Seguridad
OpenID_Connect;;;ALTA;Operaciones de Seguridad
Biometrics;;;ALTA;Operaciones de Seguridad
Security_Key;;;ALTA;Operaciones de Seguridad
IRP;;;ALTA;Operaciones de Seguridad
BCP;;;ALTA;Gestin del Programa de Seguridad
DRP;;;ALTA;Gestin del Programa de Seguridad
IRP;;;ALTA;Gestin del Programa de Seguridad
Incident_Response_Stages;;;ALTA;Gestin del Programa de Seguridad
NTP;;;ALTA;Gestin del Programa de Seguridad
ICMP;;;ALTA;Gestin del Programa de Seguridad
BYOD;;;ALTA;Gestin del Programa de Seguridad
UEM;;;ALTA;Gestin del Programa de Seguridad
Risk_Exception;;;ALTA;Gestin del Programa de Seguridad
Risk_Mitigation;;;ALTA;Gestin del Programa de Seguridad
MTTR;;;ALTA;Gestin del Programa de Seguridad
MTBF;;;ALTA;Gestin del Programa de Seguridad
RPO;;;ALTA;Gestin del Programa de Seguridad
RTO;;;ALTA;Gestin del Programa de Seguridad
Risk_Transference;;;ALTA;Gestin del Programa de Seguridad
SLA;;;ALTA;Gestin del Programa de Seguridad
Tabletop_Exercise;;;ALTA;Gestin del Programa de Seguridad
Root_Cause_Analysis;;;ALTA;Gestin del Programa de Seguridad
Chain_of_Custody;;;ALTA;Gestin del Programa de Seguridad
RAID_0;;;ALTA;Gestin del Programa de Seguridad
RAID_5;;;ALTA;Gestin del Programa de Seguridad
RAID_10;;;ALTA;Gestin del Programa de Seguridad
Hot_Site;;;ALTA;Gestin del Programa de Seguridad
Warm_Site;;;ALTA;Gestin del Programa de Seguridad
Cold_Site;;;ALTA;Gestin del Programa de Seguridad
Snapshot;;;ALTA;Gestin del Programa de Seguridad
Replication;;;ALTA;Gestin del Programa de Seguridad
Risk_Register;;;ALTA;Gestin del Programa de Seguridad
PCI_DSS;;;ALTA;Gestin del Programa de Seguridad
ISO;;;ALTA;Gestin del Programa de Seguridad
CSP;;;ALTA;Gestin del Programa de Seguridad
SNMP;;;ALTA;Gestin del Programa de Seguridad
Gap Analysis;Proceso de identificar diferencias entre el estado actual de seguridad de una organización y el estado deseado/requerido;Comparar seguridad actual con ISO 27001 | Identificar controles faltantes para compliance PCI DSS;MEDIA;D1
Honeypot;Sistema trampa que simula ser vulnerable para atraer atacantes y estudiar sus técnicas. Contiene vulnerabilidades aparentes monitorizadas;Servidor SSH falso con credenciales débiles | Base de datos con datos ficticios | Detectar técnicas de ataques;MEDIA;D1
RC4 (Rivest Cipher 4);Cifrado de flujo obsoleto. Usado en WEP y SSL antiguo. Vulnerabilidades conocidas. Deprecated;WEP encryption (inseguro) | SSL/TLS antiguo (prohibido) | Stream cipher | Vulnerabilidades Fluhrer-McGrew;MEDIA;D1
Modos de Cifrado de Bloque;Formas de aplicar cifrado por bloques. ECB (simple/débil), CBC (encadenado), CFB (feedback), GCM (autenticado), CTR (contador);ECB: NO usar (patrones visibles) | CBC: requiere IV | GCM: cifrado + autenticación | AES-256-GCM en TLS 1.3;MEDIA;D1
ECC (Elliptic Curve Cryptography);Criptografía de curva elíptica. Seguridad similar a RSA con claves más cortas. Eficiente para IoT y móviles;ECDSA (firma digital) | ECDHE (intercambio de claves) | ECC 256-bit = RSA 3072-bit en seguridad;MEDIA;D1
ECDHE (Elliptic Curve Diffie-Hellman Ephemeral);Versión de Diffie-Hellman basada en curvas elípticas con claves efímeras. Más eficiente que DHE tradicional;TLS 1.3 usa ECDHE | Perfect Forward Secrecy con menor coste computacional;MEDIA;D1
HMAC (Hash-based Message Authentication Code);Combina función hash con clave secreta para verificar autenticidad E integridad del mensaje;HMAC-SHA256 en JWT | Verificar que mensaje no fue alterado y proviene de quien dice;MEDIA;D1
PBKDF2 (Password-Based Key Derivation Function 2);Algoritmo de key stretching que aplica función hash múltiples veces (iteraciones) para derivar clave desde password. Protege contra brute force;100,000 iteraciones SHA-256 | Almacenamiento seguro de contraseñas | Alternativas: bcrypt, scrypt, Argon2;MEDIA;D1
SAN Certificate (Subject Alternative Name);Certificado que puede asegurar múltiples dominios/subdominios. Extensión del campo SAN en X.509;Certificado para www.ejemplo.com, mail.ejemplo.com, ftp.ejemplo.com | Más flexible que wildcard;MEDIA;D1
Wildcard Certificate;Certificado que asegura un dominio principal y TODOS sus subdominios de primer nivel usando asterisco (*);*.ejemplo.com cubre: www.ejemplo.com, mail.ejemplo.com, ftp.ejemplo.com | NO cubre sub.sub.ejemplo.com;MEDIA;D1
Certificado Autofirmado;Certificado NO emitido por CA. La entidad se firma a sí misma. NO confiable por defecto en navegadores. Uso en entornos internos/dev;Servidor de prueba local | Red interna corporativa | Navegador muestra advertencia de seguridad;MEDIA;D1
CRL (Certificate Revocation List);Lista de certificados revocados publicada por CA. Actualizada periodicamente. Mas lento que OCSP;Descarga de CRL completa | Verificacion offline | Actualizada cada 24-48 horas | Tamaño puede ser grande;MEDIA;D1
HSM (Hardware Security Module);Dispositivo hardware dedicado para gestión segura de claves criptográficas. Nivel empresarial. FIPS 140-2/3 certified;Almacenar claves raíz de CA | Firma de transacciones bancarias | Thales, AWS CloudHSM;MEDIA;D1
KDC (Key Distribution Center);Servidor centralizado que distribuye claves criptográficas y autentica usuarios. Componente principal de Kerberos;Kerberos KDC emite TGT (Ticket Granting Ticket) | Active Directory usa KDC;MEDIA;D1
SED (Self-Encrypting Drive);Disco duro/SSD con cifrado por hardware integrado. Transparente para el usuario. Más rápido que software;SSD Samsung con cifrado AES-256 | Protección si roban laptop | Cumplimiento FIPS;MEDIA;D1
EFS (Encrypting File System);Sistema de cifrado a nivel de archivo en Windows NTFS. Cifra archivos/carpetas individuales, NO todo el disco;Cifrar carpeta 'Documentos' en Windows | Protección por usuario | Transparente tras autenticación;MEDIA;D1
Data Masking (Enmascaramiento);Ocultar datos sensibles reemplazándolos con caracteres genéricos. Preserva formato pero no contenido real;Mostrar **** en campo de contraseña | 4532-****-****-1234 para número de tarjeta | Base de datos de prueba con datos enmascarados;MEDIA;D1
Tokenización;Reemplazar dato sensible con token/referencia no sensible. Dato real se almacena en bóveda segura separada;Token de pago en lugar de número de tarjeta real | PCI DSS compliance | Dato original NO se puede recuperar del token sin acceso a bóveda;MEDIA;D1
S/MIME (Secure/Multipurpose Internet Mail Extensions);Estándar para cifrar y firmar digitalmente emails. Requiere certificados X.509;Email cifrado en Outlook | Firma digital de correo | Certificado personal para S/MIME;MEDIA;D1
SFTP (SSH File Transfer Protocol);Protocolo de transferencia de archivos sobre SSH. Cifrado completo. NO es FTP sobre SSL;Puerto 22 (SSH) | Alternativa segura a FTP | FileZilla con SFTP;MEDIA;D1
LEAP (Lightweight EAP);Protocolo de autenticacion inalambrica DEPRECADO de Cisco. Vulnerable a ataques de diccionario. Reemplazado por PEAP y EAP-TLS;NO usar en produccion - obsoleto | Usar WPA2/WPA3 Enterprise con PEAP o EAP-TLS en su lugar;MEDIA;D1
SSID (Service Set Identifier);Nombre de red inalambrica. Puede ocultarse (SSID oculto) pero no es medida de seguridad efectiva;Cambiar SSID por defecto del router | Ocultar SSID no previene ataques de descubrimiento;MEDIA;D1
Site Survey (Wireless);Analisis de ubicacion para diseño de red inalambrica. Identifica: cobertura, interferencias, potencia de señal optima, ubicacion de APs;Heat map de cobertura Wi-Fi | Detectar interferencias de 2.4GHz (microondas, Bluetooth) | Optimizar ubicacion de APs para roaming;MEDIA;D1
CAPTCHA;Challenge-Response para distinguir humanos de bots. Previene ataques automatizados (brute force, scraping, spam);Imagenes distorsionadas con texto | Seleccionar semaforos en imagenes (reCAPTCHA v2) | reCAPTCHA v3 analiza comportamiento sin interaccion;MEDIA;D1
PEM (Privacy Enhanced Mail);Formato codificacion Base64 para certificados y claves. Texto ASCII entre headers BEGIN/END. Estandar de facto;-----BEGIN CERTIFICATE----- | -----END PRIVATE KEY----- | Base64 encoded | Formato texto legible;MEDIA;D1
Key Fob;Token fisico que genera OTP (One-Time Password) basado en tiempo (TOTP) o contador (HOTP). Factor de autenticacion;RSA SecurID | Codigo de 6-8 digitos cambia cada 30-60 segundos | Sincronizado con servidor AAA;MEDIA;D1
RFID Badge;Tarjeta con chip RFID para control de acceso fisico. Comunicacion por radiofrecuencia sin contacto;Tarjeta de empleado para puertas | Frecuencias: 125kHz (LF), 13.56MHz (HF) | Vulnerable a clonacion y skimming;MEDIA;D1
PKI Trust Models;Modelos de confianza en infraestructura de clave publica: Single CA, Hierarchical, Mesh, Web of Trust, Bridge, Hybrid;Hierarchical: root CA + intermediate CAs | Mesh: cross-certification entre CAs | Bridge: conectar PKIs separadas;MEDIA;D1
EV Certificate (Extended Validation);Certificado con validacion extendida. Mayor nivel de verificacion de identidad. Mostraba barra verde en navegadores antiguos;Validacion exhaustiva de organizacion | Usado por bancos y ecommerce | Mayor confianza del usuario;MEDIA;D1
Disinformation;Informacion falsa o engañosa difundida deliberadamente para manipular o engañar. Diferente de misinformacion (no intencional);Campañas de desinformacion en redes sociales | Deepfakes | Propaganda maliciosa;MEDIA;D1
Quishing;Phishing mediante codigos QR maliciosos. Victima escanea QR que lleva a sitio phishing o descarga malware;QR falso en email | QR en parking meter scam | Redireccion a sitio phishing;MEDIA;D1
Watering Hole Attack;Compromiso de sitio web frecuentado por objetivo. Infectar sitio legitimo para atacar a sus visitantes;Infectar sitio de industria especifica | Comprometer blog tecnico para atacar desarrolladores | Plataforma: Websites;MEDIA;D1
MSP (Managed Service Provider);Proveedor externo de servicios IT completos. Gestion de infraestructura, soporte, mantenimiento para empresas sin personal IT;Gestion de red y servidores | Help desk | Backup y DR | Monitoreo 24/7;MEDIA;D1
PPP (Point-to-Point Protocol);Protocolo para enlace punto a punto dedicado entre dos dispositivos de red. Autenticacion, cifrado, compresion;Conexiones dial-up | Enlace entre routers | Autenticacion PAP/CHAP | Base de PPTP y PPPoE;MEDIA;D1
Non-Persistent VDI;Escritorio virtual que revierte a estado original al cerrar sesion. Compartido entre usuarios. Cambios no se guardan;Kioscos publicos | Call centers | Usuario cierra sesion → desktop se resetea | Ahorro de almacenamiento;MEDIA;D1
CMS (Content Management System);Sistema de gestion de contenido web. Simplifica creacion y mantenimiento de sitios web sin codigo;WordPress | Drupal | Joomla | Vulnerabilidades: plugins desactualizados | Requiere hardening;MEDIA;D1
SOW (Statement of Work);Documento detallado que describe trabajo a realizar en proyecto. Define entregables, cronograma, costos, requisitos;SOW para implementacion de red | Alcance del proyecto | Entregables especificos | Diferente de SLA/MSA;MEDIA;D1
TKIP (Temporal Key Integrity Protocol);Protocolo de cifrado para mejorar WEP. Usado en WPA1. DEPRECADO - reemplazado por CCMP en WPA2;WPA con TKIP (obsoleto) | Claves temporales por paquete | Usar WPA2/WPA3 con CCMP/AES;MEDIA;D1
GRE (Generic Routing Encapsulation);Protocolo de tunelizacion para encapsular protocolos de red dentro de IP. Usado en VPNs. NO cifrado por defecto;GRE over IPsec para VPN | Tunel punto a punto | Protocolo 47 | Combinar con IPsec para seguridad;MEDIA;D1
AIS (Automated Indicator Sharing);Iniciativa de gobierno USA (DHS) para compartir indicadores de amenazas ciberneticas en tiempo real entre organizaciones;Compartir IoCs entre gobierno y sector privado | Formato STIX/TAXII | Programa DHS CISA;MEDIA;D1
Key Stretching;Tecnica que incrementa tiempo de calculo para derivar clave. Dificulta ataques de fuerza bruta. Aplica funcion hash multiples veces;PBKDF2 | bcrypt | scrypt | Argon2 | 10000+ iteraciones | Combate password cracking;MEDIA;D1
Password History;Politica que recuerda N contraseñas previas. Impide reutilizacion de contraseñas antiguas. Mejora seguridad en cambios periodicos;Recordar ultimas 12 contraseñas | Windows: Store 24 passwords | No reutilizar ultimas 5 contraseñas;MEDIA;D1
Password Expiration;Politica que fuerza cambio de contraseña periodicamente. Caduca tras X dias. Mitiga riesgo de credenciales comprometidas;Cambio cada 90 dias | Expiracion 60 dias | NIST ya NO recomienda expiracion automatica | Cambio solo si compromiso;MEDIA;D1
Whaling;Spear phishing dirigido específicamente a ejecutivos de alto nivel (C-level);Fraude al CEO | BEC (Business Email Compromise) a director financiero;MEDIA;D2
Smishing;Phishing mediante SMS. Mensaje de texto con link malicioso o pidiendo información sensible;SMS: 'Su paquete no pudo entregarse, haga clic aquí' | Mensaje de 'banco' pidiendo verificar tarjeta;MEDIA;D2
Vishing;Phishing por voz (llamada telefónica). Atacante se hace pasar por entidad legítima;Llamada de 'soporte Microsoft' diciendo que PC está infectado | Falso banco pidiendo verificar transacción;MEDIA;D2
Pretexting;Técnica de ingeniería social donde atacante crea escenario falso (pretexto) para engañar y obtener información;Llamar haciéndose pasar por IT support pidiendo password | Crear historia falsa de emergencia para obtener acceso;MEDIA;D2
Watering Hole Attack;Comprometen sitio web legítimo que visita el objetivo para infectar a visitantes. Ataque indirecto;Infectar sitio de noticias de industria específica | Visitantes descargan malware al navegar;MEDIA;D2
Logic Bomb;Codigo malicioso que permanece inactivo hasta que se cumple condicion especifica. Entonces ejecuta payload. Dificil de detectar;Activacion en fecha especifica | Trigger: despido empleado | Borrar datos si no login 30 dias | Sabotaje interno;MEDIA;D2
Rootkit;Malware que se oculta en el sistema operativo a nivel kernel o boot. Muy difícil de detectar y eliminar;Rootkit en firmware UEFI | Bootkit que infecta MBR | Sony BMG rootkit (2005);MEDIA;D2
LDAP Injection;Inyeccion de codigo en consultas LDAP. Manipula filtros de busqueda LDAP. Bypass de autenticacion o extraccion de datos. Similar a SQLi;usuario=*)(uid=*))(|(uid=* | Bypass login LDAP | Extraccion de objetos AD | Input validation + parametrizacion;MEDIA;D2
Buffer Overflow;Vulnerabilidad por escribir más datos de los que cabe en buffer de memoria. Permite sobrescribir memoria adyacente y ejecutar código arbitrario;Stack overflow | Heap overflow | Explotación de servicio con input sin validar;MEDIA;D2
DLL Injection (Inyección DLL);Técnica para inyectar código malicioso (DLL) en proceso legítimo de Windows. Evasión de detección;Malware inyecta DLL en explorer.exe | Rootkit usando DLL injection;MEDIA;D2
TOC/TOU (Time of Check/Time of Use);Vulnerabilidad de condicion de carrera. Estado de recurso cambia entre verificacion y uso. Race condition attack;Verificar permisos archivo, luego cambiar archivo antes de usar | Symbolic link attack | File system race;MEDIA;D2
Domain Hijacking;Apropiacion ilegitima de dominio. Cambio no autorizado de registrante o DNS. Phishing, robo de credenciales del registrar;Robo credenciales GoDaddy | Transferencia no autorizada a otro registrar | Cambio de DNS a servidor atacante;MEDIA;D2
Bluesnarfing;Acceso no autorizado a dispositivo Bluetooth. Robo de datos (contactos, mensajes, fotos). Explota vulnerabilidades Bluetooth;Robo contactos telefono | Acceso calendario | Descarga mensajes SMS | Vulnerabilidad Bluetooth legacy;MEDIA;D2
Wireless Jamming;Ataque DoS que interfiere señal inalámbrica usando ruido en misma frecuencia. Hace inaccesible WiFi/Bluetooth/GPS;Jamming de señal WiFi 2.4GHz | Bloquear GPS | Ataque de denegación de servicio físico;MEDIA;D2
Pass the Hash;Técnica de autenticación usando hash de contraseña capturado sin necesidad de descifrar. Común en Windows NTLM;Usar hash NTLM para autenticarse sin conocer password en texto claro | Movimiento lateral en AD;MEDIA;D2
Replay Attack;Capturar y reenviar tráfico de autenticación válido para ganar acceso. Mitigación: timestamps, nonces;Capturar token de autenticación y reenviarlo | Repetir transacción bancaria capturada;MEDIA;D2
Downgrade Attack;Forzar uso de protocolo/cifrado más débil y obsoleto para facilitar compromiso;Forzar TLS 1.0 en lugar de TLS 1.3 | SSL stripping a HTTP | POODLE attack contra SSL 3.0;MEDIA;D2
