Termino;Definicion;Ejemplos;Prioridad;Dominio
Sideloading;Instalar apps móviles desde fuentes NO oficiales (fuera de App Store/Play Store). Riesgo de malware;Instalar APK desde sitio web | Apps no verificadas | Bypass de protecciones de tienda oficial;MEDIA;D2
Rooting (Android);Obtener acceso root/administrativo completo en dispositivo Android. Anula garantía y rompe seguridad;SuperSU | Magisk | Acceso total al sistema operativo | Bypass de restricciones del fabricante;MEDIA;D2
Jailbreaking (iOS);Obtener acceso root en dispositivo iOS eliminando restricciones de Apple. Instalar apps no autorizadas;Cydia | Acceso a filesystem | Instalar apps fuera de App Store;MEDIA;D2
Firmware;Software embebido en chip hardware. Controla funciones de bajo nivel del dispositivo. Difícil de actualizar;BIOS/UEFI | Firmware de router | Firmware de SSD | Rootkits pueden infectar firmware;MEDIA;D2
Degaussing;Eliminar datos de medios magneticos (HDD, cintas) usando campo magnetico intenso. Destruye datos y hace medio inutilizable;Degausser para HDDs antes de desechar | NO funciona en SSDs (usar destruccion fisica) | Certificacion de sanitizacion;MEDIA;D2
SCAP (Security Content Automation Protocol);Suite de especificaciones para automatizar gestion de vulnerabilidades, medicion de configuracion, compliance. Incluye CVE, CVSS, CCE, CPE;SCAP scanners (Nessus, OpenSCAP) | Validacion automatica de configuraciones contra baseline | Integracion con SIEM;MEDIA;D2
Image-Based Threat Vectors;Amenazas mediante imagenes: Steganography (ocultar datos), Deepfakes (manipulacion), Malware-embedded images;Steganografia en PNG | Deepfake de CEO para BEC | Exploit en JPEG | Brand impersonation con logos;MEDIA;D2
Race Condition;Vulnerabilidad donde resultado depende de secuencia/timing de eventos. Acceso concurrente a recurso compartido causa comportamiento inesperado;TOC/TOU (Time-of-Check/Time-of-Use) | Dos threads modifican variable simultaneamente | Sincronizacion incorrecta;MEDIA;D2
IV Attack;Ataque contra cifrado WEP. Explota debilidad de Initialization Vector (IV) de 24 bits. Colecta IVs para crackear clave WEP;airodump-ng captura IVs | aircrack-ng crackea WEP | 40000-85000 IVs necesarios | WEP obsoleto;MEDIA;D2
HIDS (Host-based IDS);IDS instalado en host individual. Monitoriza logs, filesystem, procesos del sistema local;OSSEC | Detecta cambios no autorizados en archivos de sistema;MEDIA;D3
Remote Access VPN (Client-to-Site);VPN para usuarios individuales que conectan a red corporativa desde ubicación remota. Requiere cliente VPN;Teletrabajo con cliente OpenVPN | SSL VPN via navegador;MEDIA;D3
Split Tunnel VPN;VPN que permite tráfico simultáneo por VPN (corporativo) y directo a Internet (no corporativo). Ahorra ancho de banda pero menos seguro;Tráfico a red corporativa via VPN, Netflix directo a Internet | Conserva bandwidth de empresa;MEDIA;D3
Full Tunnel VPN;TODO el tráfico pasa por VPN, incluso Internet. Más seguro pero consume más ancho de banda corporativo;Todo el tráfico inspeccionado por firewall corporativo | Más control de seguridad;MEDIA;D3
IPSec;Suite de protocolos para VPN a nivel IP. Modos: transporte (solo payload), túnel (paquete completo). Componentes: AH (autenticación), ESP (cifrado);Site-to-site VPN corporativa | IKE para negociación de claves | ESP para confidencialidad;MEDIA;D3
IKE (Internet Key Exchange);Protocolo para establecer conexión segura e intercambiar claves en IPSec VPN. Fase 1: autenticación, Fase 2: negociación de claves de sesión;IKEv2 más rápido y seguro que IKEv1 | Establecer SA (Security Association) en IPSec;MEDIA;D3
ESP (Encapsulating Security Payload);Componente de IPSec que proporciona CONFIDENCIALIDAD (cifrado), integridad y autenticación del payload;ESP en modo túnel cifra todo el paquete IP | Protocolo 50;MEDIA;D3
IPSec Tunnel Mode;Modo IPSec que cifra TODO el paquete original (header + payload) y añade nuevo header IP. Usado en VPN site-to-site;VPN entre oficinas | Paquete completo protegido;MEDIA;D3
SSL VPN;VPN basada en SSL/TLS. Acceso mediante navegador web (clientless) o cliente ligero. Más fácil de usar que IPSec para usuarios remotos;Acceso remoto sin cliente dedicado | Portal web corporativo seguro | Cisco AnyConnect;MEDIA;D3
VLSM (Variable Length Subnet Mask);Subredes de diferentes tamaños en misma red. Uso eficiente de IPs. Permite subnetting flexible. Optimiza espacio de direcciones;/24 para usuarios (254 hosts) | /30 para enlaces punto-a-punto (2 hosts) | Subnetting eficiente;MEDIA;D3
Implicit Deny (Denegación Implícita);Regla por defecto en ACL/firewall: denegar TODO lo que no esté explícitamente permitido. Principio de seguridad;Última regla invisible: deny any any | Whitelist approach | Más seguro que permit by default;MEDIA;D3
NAC (Network Access Control);Control de acceso a la red a nivel de puerto. Verifica cumplimiento de seguridad antes de permitir acceso. Protocolo: 802.1X;Verificar antivirus actualizado antes de dar acceso | BYOD con verificación de políticas | Cisco ISE;MEDIA;D3
PAC (Proxy Auto-Configuration);Archivo script que define como navegadores seleccionan proxy. Reglas automaticas de enrutamiento web. Formato JavaScript;proxy.pac file | function FindProxyForURL() | DIRECT vs PROXY rules | Automatic proxy selection;MEDIA;D3
Port Mirroring (Duplicacion de puertos);Copia trafico de puerto(s) a puerto monitor. Permite analisis pasivo de red. SPAN port. Usado para IDS, analisis trafico;SPAN port en Cisco | Mirror port 1-10 to port 24 | IDS monitoring | Packet capture sin interrupcion;MEDIA;D3
Containerización;Empaquetar aplicación y dependencias en unidad autocontenida (container) que corre aislada. Más ligero que VM;Docker | Kubernetes | Microservicios en containers | Aislamiento de aplicaciones;MEDIA;D3
Virtualización;Ejecutar múltiples sistemas operativos virtuales (VMs) en un host físico mediante hypervisor;VMware ESXi | Hyper-V | VirtualBox | Consolidación de servidores;MEDIA;D3
Sandboxing;Entorno aislado para ejecutar código sospechoso sin riesgo para sistema principal. Análisis seguro de malware;Ejecutar archivo sospechoso en VM desechable | Cuckoo Sandbox | Navegador en sandbox;MEDIA;D3
SOAR (Security Orchestration, Automation and Response);Plataforma que automatiza respuesta a incidentes mediante playbooks. Orquesta múltiples herramientas de seguridad;Playbook de phishing: detectar → cuarentenar email → bloquear dominio → notificar usuario | Cortex XSOAR, Splunk Phantom;MEDIA;D3
UTM (Unified Threat Management);Dispositivo all-in-one que combina firewall, IPS, antivirus, anti-spam, VPN, filtrado web en una sola solución;Fortinet FortiGate | Sophos UTM | Seguridad completa para PYMES;MEDIA;D3
SWG (Secure Web Gateway);Proxy avanzado que filtra tráfico web malicioso. Protege navegación: anti-malware, filtrado URL, DLP, inspección SSL;Zscaler | Filtrar categorías de sitios | Bloquear descarga de malware | Cloud-based proxy;MEDIA;D3
CASB (Cloud Access Security Broker);Intermediario de seguridad entre usuarios y aplicaciones cloud. Visibilidad, DLP, compliance, threat protection en SaaS;Controlar uso de Dropbox/OneDrive | DLP en Office 365 | Detectar shadow IT;MEDIA;D3
SNMP (Simple Network Management Protocol);Protocolo para gestionar y monitorizar dispositivos de red. Versiones: v1/v2c (inseguras), v3 (cifrada);Monitorizar CPU/memoria de router | SNMPv3 con autenticación | Puerto 161/162;MEDIA;D3
Journaling (Llevar un diario);Registro de cambios antes de aplicarlos. Filesystem journaling. Recuperacion tras crash. Integridad de datos garantizada;ext4 journal | NTFS journal | Database WAL | Previene corrupcion tras fallo;MEDIA;D3
RAID (Redundant Array of Independent Disks);Configuración de múltiples discos para redundancia y/o rendimiento. Niveles: 0 (striping), 1 (mirroring), 5 (striping + paridad), 10 (mirror + stripe);RAID 0: rendimiento, NO redundancia | RAID 1: espejo para tolerancia a fallos | RAID 5: balance rendimiento/redundancia (mín 3 discos) | RAID 10: máximo rendimiento y redundancia (mín 4 discos);MEDIA;D3
Tabletop Exercise;Simulacro de mesa donde equipo discute respuesta a escenario hipotético de incidente. NO es práctica real;Discutir qué hacer ante ransomware | Revisión de IRP sin ejecutar acciones | Identificar gaps en procedimientos;MEDIA;D3
Simulation (Ejercicio de simulación);Ejercicio realista que simula ataque real para probar respuesta. Más completo que tabletop;Simular phishing real | Red team vs Blue team | Ejecutar acciones de respuesta;MEDIA;D3
Backup Generator (Generador de Respaldo);Generador electrico que arranca cuando falla alimentacion principal. Diesel/gas. Autonomia horas/dias. Complementa UPS;Generador diesel datacenter | Arranque automatico 30 seg | Tanque 24-48h autonomia | Testing mensual requerido;MEDIA;D3
PaaS (Platform as a Service);Plataforma de desarrollo en cloud. Proveedor gestiona OS y runtime. Usuario solo desarrolla aplicación;Heroku | Google App Engine | Azure App Service;MEDIA;D3
CSP (Cloud Service Provider);Proveedor de servicios cloud que ofrece infraestructura, plataforma o software en modelo serverless/cloud;AWS | Azure | Google Cloud | Gestiona infraestructura para serverless;MEDIA;D3
Hybrid Cloud;Combinación de cloud público, privado y/o on-premises. Datos/apps pueden moverse entre entornos;Datos sensibles on-prem, aplicaciones en public cloud | Burst a cloud en picos de demanda;MEDIA;D3
VPC (Virtual Private Cloud);Red privada virtual aislada dentro de cloud público. Control completo sobre red (subnets, routing, gateways);AWS VPC | Azure Virtual Network | Segmentación lógica en cloud;MEDIA;D3
Agent-Based Filtering;Filtrado web mediante agente instalado en endpoint. Funciona incluso fuera de red corporativa. Control de contenido en laptop remota;Software de filtrado web en laptop corporativa | Politicas aplicadas localmente | Alternativa a proxy centralizado;MEDIA;D3
SELinux (Security-Enhanced Linux);Implementacion de Mandatory Access Control (MAC) en Linux. Politicas de seguridad a nivel kernel. Confina procesos;Modos: Enforcing (bloquea), Permissive (alerta), Disabled | Contextos de seguridad en archivos/procesos | Politicas targeted/strict;MEDIA;D3
IMAPS (IMAP over SSL/TLS);Protocolo de email cifrado. Puerto 993/TCP. IMAP con capa SSL/TLS para confidencialidad;Configurar cliente email con IMAPS puerto 993 | Alternativa segura a IMAP puerto 143 | Cifrado de credenciales y emails;MEDIA;D3
POP3S (POP3 over SSL/TLS);Protocolo de email cifrado. Puerto 995/TCP. POP3 con capa SSL/TLS;Puerto 995 vs POP3 puerto 110 | Descarga de emails con cifrado | Menos usado que IMAPS;MEDIA;D3
RuBAC (Rule-Based Access Control);Control de acceso basado en reglas. Combina multiples condiciones: tiempo, ubicacion, tipo de dispositivo, etc.;Permitir acceso solo de 8am-6pm | Bloquear acceso desde IPs fuera del pais | ACLs de firewall son tipo RuBAC;MEDIA;D3
ABAC (Attribute-Based Access Control);Control de acceso basado en atributos de: usuario, recurso, entorno. Politicas dinamicas y granulares;Permitir acceso si: departamento=HR AND ubicacion=oficina AND hora_laboral=true | AWS IAM policies | XACML standard;MEDIA;D3
Time-of-Day Restrictions;Limitar acceso a sistemas/recursos basado en horario. Parte de RuBAC;Acceso a sistema nominas solo 8am-6pm | Deshabilitar cuentas fuera de horario laboral | GPO con restricciones horarias;MEDIA;D3
EAP-TTLS;EAP Tunneled TLS. Similar a PEAP pero mas flexible. Tunel TLS para autenticacion. Soporta metodos legacy dentro de tunel;EAP-TTLS/PAP | Certificado solo en servidor | Alternativa a PEAP | Mayor compatibilidad que PEAP;MEDIA;D3
Clearance Levels;Niveles de autorizacion de seguridad. Clasificacion jerarquica. Gobierno/militar. Sujeto debe tener clearance >= clasificacion objeto;Top Secret | Secret | Confidential | Unclassified | Need-to-know | Modelo Bell-LaPadula;MEDIA;D3
Geofencing;Perimetro virtual geografico. Reglas basadas en ubicacion GPS. Permite/bloquea acceso segun localizacion. Control de acceso contextual;Acceso solo desde oficina | Bloquear login fuera del pais | MDM geofencing | Alertas salida de zona;MEDIA;D3
Honeynet;Red de honeypots interconectados. Simula red completa de organizacion. Atrae atacantes para estudiar TTPs. Investigacion de amenazas;Red falsa con servidores, workstations, routers falsos | Monitoreo completo de ataques | Research de malware;MEDIA;D3
Honeytoken;Dato falso usado como trampa. Alerta cuando se accede. Credenciales falsas, archivos señuelo. Deteccion de breach;Credenciales falsas en archivo | Entrada DB ficticia | Fake API key | Email señuelo | Alerta si se usa;MEDIA;D3
IPsec Transport Mode;Modo IPsec que cifra solo payload (datos). Header IP original sin cifrar. Usado host-to-host. Menos overhead que Tunnel;Comunicacion host a host | No modifica IP header | ESP transport | Menor overhead que tunnel mode;MEDIA;D3
Data Masking (Enmascaramiento de datos);Ocultar datos sensibles reemplazandolos con caracteres. Protege datos en pantalla. No modifica datos originales en BD;****1234 (numero tarjeta) | Asteriscos en password field | XXX-XX-1234 (SSN) | Ocultar PII en UI;MEDIA;D3
EFS (Encrypting File System);Sistema de cifrado de archivos de Windows. Cifrado a nivel de archivo/carpeta. Transparente para usuario. Basado en certificados usuario;Cifrar carpeta Mis Documentos | EFS en NTFS | Certificado usuario para clave | Data at rest encryption;MEDIA;D3
Split Tunneling;VPN que permite trafico simultaneo por VPN y red publica. Trafico corporativo via VPN, Internet directo. Ahorra ancho de banda;Acceso recursos empresa via VPN, Netflix via ISP | Reduce latencia Internet | Riesgo: bypass VPN security;MEDIA;D3
CAPTCHA;Test para distinguir humanos de bots. Desafio-respuesta visual/audio. Previene automatizacion. reCAPTCHA de Google popular;Seleccionar semaforos en imagenes | Escribir texto distorsionado | reCAPTCHA v3 (invisible) | Anti-bot protection;MEDIA;D3
Degaussing (Desmagnetizacion);Eliminacion de datos mediante desmagnetizacion de medios magneticos. Campo magnetico fuerte borra datos. Destruye disco para reutilizacion;Degausser para HDDs | Desmagnetizador cintas magneticas | Inutiliza disco tras proceso | NO funciona en SSD;MEDIA;D3
Non-Persistent VDI;VDI que resetea a estado original tras cada sesion. Escritorio compartido entre usuarios. No guarda cambios. Mas seguro;Escritorio reset al logout | Comparte golden image | Mas economico que persistent | Ideal para task workers;MEDIA;D3
CMS (Content Management System);Sistema gestion de contenido web. Crear y mantener sitios web sin codigo. WordPress, Drupal, Joomla;WordPress | Drupal | Joomla | Vulnerabilidades si no actualizado | Plugins riesgosos;MEDIA;D3
SMTPS (SMTP Secure);SMTP sobre SSL/TLS implícito. Puerto 465. Deprecated en favor de STARTTLS. Cifrado desde inicio conexion;Puerto 465 | SSL/TLS desde inicio | Deprecated (usar STARTTLS) | Cifrado email submission;MEDIA;D3
TKIP (Temporal Key Integrity Protocol);Protocolo seguridad WPA1. Mejora WEP. Claves temporales por paquete. Obsoleto (usar CCMP/WPA2);WPA con TKIP | Mejor que WEP pero obsoleto | Vulnerabilidades conocidas | Usar WPA2/CCMP;MEDIA;D3
GRE (Generic Routing Encapsulation);Protocolo tunelizacion Cisco. Encapsula diversos protocolos de capa 3. VPN site-to-site. NO cifra (usar con IPsec);GRE tunnel Cisco | Encapsula IP, IPv6, IPX | GRE over IPsec para cifrado | IP protocol 47;MEDIA;D3
AIS (Automated Indicator Sharing);Iniciativa DHS para compartir indicadores de amenazas en tiempo real. Gobierno + sector privado. STIX/TAXII;US-CERT AIS | STIX format | TAXII transport | Threat intel sharing | Indicadores IoC automaticos;MEDIA;D3
CTR (Counter Mode);Modo cifrado que convierte block cipher en stream cipher. Usa contador + IV. Paralelizable. No padding;AES-CTR | Paralelizable (rapido) | No padding needed | GCM usa CTR | Nonce/counter unico critico;MEDIA;D3
TAXII (Trusted Automated Exchange of Intelligence Information);Protocolo para compartir threat intelligence. Transporte de datos STIX. APIs para intercambio automatizado de IoCs;TAXII server recibe feeds de IoCs | Integrar con SIEM/firewall | Formato STIX para datos de amenazas;MEDIA;D4
Dark Web;Red overlay anonima (Tor, I2P). Requiere software especial. Usado para: anonimato, mercados ilegales, leaks de datos;Tor Browser | Dominios .onion | Monitoreo de credenciales filtradas | Threat intelligence de foros de hackers;MEDIA;D4
Bug Bounty;Programa de recompensas por descubrir vulnerabilidades. Researchers eticos reportan bugs a cambio de pago;HackerOne | Bugcrowd | Programas de Google, Microsoft, Apple | Responsible disclosure;MEDIA;D4
SNMP (Simple Network Management Protocol);Protocolo de gestion de dispositivos de red. Puertos 161 (agent), 162 (trap). Versiones: v1/v2c (inseguros), v3 (cifrado);Monitoreo de routers/switches | MIB (Management Information Base) | SNMPv3 con autenticacion y cifrado | Community strings en v1/v2c;MEDIA;D4
Technical Debt;Costo implicito de trabajo adicional futuro por soluciones rapidas/suboptimas. En seguridad: sistemas legacy sin parches, workarounds;Sistema Windows Server 2008 sin soporte | Hardcoded credentials pendientes de refactorizar | Configuraciones temporales que quedaron permanentes;MEDIA;D4
E-Discovery (Electronic Discovery / Descubrimiento Electronico);Identificar, recopilar y producir ESI (Electronically Stored Information) para litigio. Proceso legal forense digital;Email discovery en lawsuit | Forensic collection | Legal hold | Chain of custody | Produccion de evidencia digital;MEDIA;D4
Metadata (Metadatos);Datos que describen otros datos. Info sobre archivo sin ser contenido. Autor, fecha creacion, modificacion, ubicacion GPS en fotos;EXIF en fotos (GPS, camara) | Autor documento Word | Email headers | Timestamp archivos | HTML meta tags;MEDIA;D4
XML (eXtensible Markup Language);Lenguaje de marcado para estructurar datos en formato legible para humanos y maquinas. Usado en configuraciones, APIs, SAML;SAML assertions | Archivos de configuracion | SOAP web services | Vulnerable a XXE (XML External Entity);MEDIA;D4
JSON (JavaScript Object Notation);Formato ligero de intercambio de datos. Legible para humanos. Basado en sintaxis JavaScript. Alternativa a XML;APIs REST | Archivos de configuracion | Mas simple que XML | Pares clave-valor;MEDIA;D4
CBC (Cipher Block Chaining);Modo de cifrado de bloques que encadena bloques. Cada bloque cifrado depende del anterior. Usa IV (Initialization Vector);AES-CBC | Requiere IV aleatorio | Padding oracle attacks | Cifrado secuencial (no paralelo);MEDIA;D4
CTR (Counter Mode);Modo de cifrado que combina contador unico con clave para generar bloques pseudoaleatorios. Permite paralelizacion;AES-CTR | Cifrado paralelo | Convierte block cipher en stream cipher | No requiere padding;MEDIA;D4
Purple Team;Colaboracion entre Red y Blue Team. Comparten conocimientos. Mejoran defensas mediante feedback. No es equipo separado;Red Team explica tecnicas usadas | Blue Team mejora deteccion | Sesiones de feedback | Threat emulation conjunta;MEDIA;D4
Normalization;Proceso de convertir datos a formato estandar. En SIEM: unificar logs de multiples fuentes. Facilita correlacion y analisis;Timestamp en UTC | IP en formato estandar | Campos comunes (src_ip, dst_ip) | SIEM parsea logs diversos;MEDIA;D4
Concurrent Session Usage;Indicador de compromiso. Mismo usuario logueado simultaneamente en multiples ubicaciones. Posible robo de credenciales;Usuario en NYC y Tokyo simultaneamente | Alerta SIEM sesion duplicada | Indicador de account sharing o compromiso;MEDIA;D4
Out-of-Cycle Logging;Registros fuera del ciclo normal. Logs en horarios inusuales. Actividad fuera de horario laboral. Indicador de actividad sospechosa;Admin login 3am domingo | Backup ejecutado horario no planificado | Script cron fuera de schedule;MEDIA;D4
ARO (Annualized Rate of Occurrence);Frecuencia estimada anual de amenaza. Cuantas veces al año ocurre incidente. Calculo de riesgo: SLE x ARO = ALE;Ransomware: ARO = 0.5 (cada 2 años) | Inundacion: ARO = 0.1 (cada 10 años) | ALE = SLE x ARO;MEDIA;D4
Right to be Forgotten (Derecho a ser Olvidado);Derecho GDPR de solicitar eliminacion de datos personales. Derecho de supresion. Eliminar info de busquedas y fuentes publicas;Eliminar datos de Google Search | Delete cuenta y datos personales | GDPR Article 17 | Excepciones legales aplican;MEDIA;D4
User Onboarding (Incorporacion de Usuario);Proceso de añadir nuevo empleado a sistemas. Crear cuentas, asignar permisos, hardware, training. Checklist de incorporacion;Crear cuenta AD | Asignar laptop | Configurar email | Access card | Security training | Sign NDA;MEDIA;D4
User Offboarding (Baja de Usuario);Proceso cuando empleado deja empresa. Revocar accesos, recuperar activos, exit interview. Checklist de despido;Disable AD account | Recuperar laptop y access card | Revoke VPN | Exit interview | Return company assets;MEDIA;D4
Data Processor (Procesador de Datos);Entidad que procesa datos personales en nombre del controlador. Sigue instrucciones del controlador. Responsabilidad compartida GDPR;Cloud provider (AWS, Azure) | Payroll service | Email marketing platform | Procesa datos segun instrucciones;MEDIA;D4
Data Controller (Controlador de Datos / Responsable del Tratamiento);Entidad que determina propositos y medios de procesamiento de datos personales. Responsabilidad principal GDPR. Decide QUE y COMO;Empresa que recopila datos clientes | Hospital con datos pacientes | Determina retencion y uso de datos;MEDIA;D4
RFID (Radio Frequency Identification);Identificacion por radiofrecuencia. Etiquetas RFID almacenan datos. Lectura sin contacto. Tracking de objetos y acceso;RFID access card | Inventory tracking | Passive RFID (sin bateria) | Active RFID (con bateria) | RFID cloning risk;MEDIA;D4
MAC (Mandatory Access Control);Control de acceso obligatorio. Sistema operativo impone politica. Basado en clasificacion y clearance. Usado en entornos militares/gobierno;SELinux | Clearance: Top Secret, Secret | Labels en objetos | No discretion del usuario | Bell-LaPadula model;MEDIA;D4
ABAC (Attribute-Based Access Control);Control de acceso basado en atributos. Reglas granulares con multiples atributos: usuario, recurso, entorno. Muy flexible;Acceso si: rol=manager AND dept=HR AND time=business_hours | XACML | Context-aware access | Dynamic rules;MEDIA;D4
OVAL (Open Vulnerability and Assessment Language);Lenguaje XML para automatizar evaluacion de vulnerabilidades. MITRE standard. Describe tests de seguridad;OVAL definitions | Vulnerability scanners usan OVAL | XML format | MITRE maintained | Compliance checking;MEDIA;D5
COPE (Corporate Owned, Personally Enabled);Empresa posee dispositivo, permite uso personal. Control corporativo + flexibilidad personal. Balance seguridad/usabilidad;Empresa da iPhone, permite apps personales | MDM managed | Mas control que BYOD | Empresa paga dispositivo;MEDIA;D5
CYOD (Choose Your Own Device);Empleado elige de lista aprobada por empresa. Empresa posee y gestiona. Balance eleccion/control;Elegir entre iPhone o Samsung aprobados | Lista dispositivos certificados | Empresa posee | Estandarizacion parcial;MEDIA;D5
Risk Appetite;Cantidad de riesgo que organizacion esta dispuesta a aceptar. Nivel estrategico. Define limites de risk-taking. Guia decisiones de seguridad;Startup tech: alto risk appetite (innovacion) | Banco: bajo risk appetite (regulacion) | Define threshold de aceptacion;MEDIA;D5
MOU (Memorandum of Understanding);Documento de entendimiento mutuo. No legalmente vinculante. Intenciones y objetivos comunes. Menos formal que contrato;MOU entre organizaciones para compartir threat intelligence | Acuerdo colaboracion entre departamentos | NO ejecutable legalmente;MEDIA;D5
MSA (Master Service Agreement);Acuerdo marco de servicio. Contrato general que gobierna relacion. Terminos y condiciones base. SOWs especificos derivan de MSA;MSA con proveedor IT | Define terminos generales | SOW individuales para proyectos | Reduce negociacion repetitiva;MEDIA;D5
Journaling;Registro de cambios antes de aplicarlos. Filesystem journaling. Permite recuperacion tras crash. Integridad de datos;ext4 journal | NTFS journal | Database transaction log | Recuperacion consistente tras fallo;MEDIA;D5
PDU (Power Distribution Unit);Unidad de distribucion electrica. Distribuye energia a equipos en rack. Inteligente (monitoreo) o basica. Redundancia de alimentacion;PDU dual para redundancia | Monitorizacion remota consumo | Switched PDU (apagado remoto) | PDU en rack datacenter;MEDIA;D5
Backup Generator;Generador electrico de respaldo. Arranca cuando falla alimentacion principal. Diesel/gas. Complementa UPS. Autonomia horas/dias;Generador diesel 500kW | Arranque automatico en 30 seg | Tanque combustible 24h autonomia | Testing mensual;MEDIA;D5
GPS (Global Positioning System);Sistema posicionamiento global por satelite. Localizacion geografica. Geotagging, tracking. Privacy concerns;Smartphone GPS | Geofencing apps | Location tracking | Privacy risks | Geotagging photos | Find My iPhone;MEDIA;D5
MBR (Master Boot Record);Primer sector disco (512 bytes). Info particiones + bootloader. Legacy (pre-UEFI). Vulnerable a bootkits;Sector 0 del disco | Bootloader legacy | Max 4 particiones primarias | Reemplazado por GPT/UEFI | MBR rootkits;MEDIA;D5
CSO (Chief Security Officer);Director de Seguridad. Ejecutivo responsable de seguridad fisica y ciberseguridad. Protege activos, datos, personas;Oversee CISO + physical security | Risk management | Security strategy | Reporta a CEO/COO | C-level executive;MEDIA;D5
RTP (Real-time Transport Protocol);Protocolo para entregar audio/video sobre redes IP. Tiempo real. VoIP, streaming. Usado con RTCP;VoIP calls | Video streaming | WebRTC | SRTP (secure RTP) | UDP-based | Usado con SIP;MEDIA;D5